ItemID,ABC_Class,Access_Frequency,Slow_Moving_SKU,Location
Item1,B,96,No,Zone C-Rack17-Shelf1
Item2,C,94,No,Zone A-Rack20-Shelf5
Item3,C,47,No,Zone D-Rack16-Shelf5
Item4,C,99,No,Zone E-Rack14-Shelf3
Item5,A,55,No,Zone E-Rack6-Shelf2
Item6,A,40,No,Zone C-Rack5-Shelf1
Item7,A,52,No,Zone B-Rack10-Shelf2
Item8,C,16,Yes,Zone C-Rack13-Shelf5
Item9,C,13,Yes,Zone A-Rack1-Shelf2
Item10,C,30,No,Zone A-Rack11-Shelf5
Item11,A,19,Yes,Zone B-Rack17-Shelf5
Item12,C,17,Yes,Zone A-Rack2-Shelf1
Item13,C,63,No,Zone C-Rack1-Shelf5
Item14,B,19,Yes,Zone D-Rack17-Shelf5
Item15,A,92,No,Zone E-Rack6-Shelf3
Item16,A,58,No,Zone E-Rack5-Shelf5
Item17,B,55,No,Zone E-Rack10-Shelf2
Item18,C,90,No,Zone C-Rack17-Shelf5
Item19,B,90,No,Zone A-Rack14-Shelf1
Item20,B,62,No,Zone C-Rack13-Shelf5
Item21,C,23,No,Zone D-Rack1-Shelf1
Item22,A,9,Yes,Zone B-Rack8-Shelf2
Item23,B,12,Yes,Zone B-Rack2-Shelf3
Item24,B,1,Yes,Zone C-Rack18-Shelf4
Item25,B,58,No,Zone A-Rack12-Shelf5
Item26,C,1,Yes,Zone C-Rack17-Shelf5
Item27,A,34,No,Zone E-Rack14-Shelf2
Item28,C,96,No,Zone C-Rack19-Shelf4
Item29,C,48,No,Zone B-Rack6-Shelf2
Item30,A,89,No,Zone B-Rack18-Shelf3
Item31,C,1,Yes,Zone C-Rack2-Shelf4
Item32,A,16,Yes,Zone A-Rack6-Shelf1
Item33,A,61,No,Zone D-Rack10-Shelf3
Item34,C,64,No,Zone A-Rack5-Shelf5
Item35,C,63,No,Zone D-Rack10-Shelf1
Item36,C,69,No,Zone B-Rack17-Shelf4
Item37,B,22,No,Zone D-Rack5-Shelf2
Item38,A,93,No,Zone E-Rack2-Shelf5
Item39,C,67,No,Zone C-Rack11-Shelf3
Item40,B,76,No,Zone C-Rack15-Shelf1
Item41,A,26,No,Zone C-Rack16-Shelf4
Item42,B,16,Yes,Zone D-Rack3-Shelf3
Item43,A,51,No,Zone C-Rack18-Shelf5
Item44,C,86,No,Zone B-Rack19-Shelf3
Item45,B,57,No,Zone E-Rack5-Shelf2
Item46,C,29,No,Zone D-Rack10-Shelf5
Item47,B,78,No,Zone E-Rack6-Shelf1
Item48,C,92,No,Zone E-Rack9-Shelf4
Item49,C,69,No,Zone B-Rack14-Shelf2
Item50,A,47,No,Zone A-Rack14-Shelf2
Item51,C,94,No,Zone E-Rack9-Shelf2
Item52,C,62,No,Zone A-Rack15-Shelf1
Item53,C,69,No,Zone C-Rack16-Shelf5
Item54,C,76,No,Zone A-Rack4-Shelf1
Item55,C,16,Yes,Zone A-Rack3-Shelf5
Item56,C,90,No,Zone D-Rack15-Shelf2
Item57,A,90,No,Zone D-Rack14-Shelf2
Item58,A,48,No,Zone E-Rack14-Shelf3
Item59,A,85,No,Zone C-Rack7-Shelf3
Item60,B,39,No,Zone C-Rack15-Shelf4
Item61,B,33,No,Zone E-Rack18-Shelf2
Item62,B,94,No,Zone C-Rack19-Shelf1
Item63,C,23,No,Zone E-Rack10-Shelf1
Item64,B,10,Yes,Zone A-Rack7-Shelf2
Item65,B,69,No,Zone D-Rack17-Shelf5
Item66,C,34,No,Zone D-Rack4-Shelf2
Item67,A,52,No,Zone C-Rack9-Shelf5
Item68,C,95,No,Zone B-Rack15-Shelf4
Item69,A,10,Yes,Zone B-Rack15-Shelf1
Item70,C,19,Yes,Zone D-Rack19-Shelf2
Item71,C,58,No,Zone A-Rack5-Shelf4
Item72,A,96,No,Zone B-Rack2-Shelf3
Item73,A,1,Yes,Zone C-Rack13-Shelf5
Item74,C,69,No,Zone A-Rack1-Shelf5
Item75,C,4,Yes,Zone E-Rack6-Shelf4
Item76,C,16,Yes,Zone C-Rack9-Shelf3
Item77,C,24,No,Zone C-Rack8-Shelf5
Item78,A,80,No,Zone D-Rack6-Shelf2
Item79,B,2,Yes,Zone D-Rack11-Shelf4
Item80,A,92,No,Zone A-Rack6-Shelf3
Item81,C,32,No,Zone A-Rack2-Shelf3
Item82,C,91,No,Zone B-Rack19-Shelf5
Item83,B,84,No,Zone D-Rack5-Shelf2
Item84,A,24,No,Zone D-Rack19-Shelf4
Item85,B,12,Yes,Zone A-Rack20-Shelf1
Item86,B,50,No,Zone D-Rack15-Shelf1
Item87,C,35,No,Zone B-Rack14-Shelf5
Item88,C,33,No,Zone C-Rack4-Shelf5
Item89,C,33,No,Zone C-Rack3-Shelf1
Item90,B,61,No,Zone B-Rack10-Shelf5
Item91,A,51,No,Zone B-Rack12-Shelf2
Item92,C,43,No,Zone E-Rack8-Shelf2
Item93,C,12,Yes,Zone D-Rack1-Shelf5
Item94,C,67,No,Zone A-Rack17-Shelf1
Item95,C,65,No,Zone C-Rack15-Shelf3
Item96,B,33,No,Zone A-Rack5-Shelf4
Item97,C,40,No,Zone D-Rack18-Shelf5
Item98,B,74,No,Zone C-Rack9-Shelf2
Item99,A,43,No,Zone D-Rack3-Shelf3
Item100,A,44,No,Zone A-Rack8-Shelf4
Item101,A,29,No,Zone E-Rack8-Shelf3
Item102,C,13,Yes,Zone A-Rack5-Shelf4
Item103,B,12,Yes,Zone C-Rack5-Shelf5
Item104,C,95,No,Zone C-Rack14-Shelf2
Item105,C,46,No,Zone D-Rack13-Shelf2
Item106,B,2,Yes,Zone A-Rack18-Shelf3
Item107,B,35,No,Zone E-Rack6-Shelf1
Item108,C,87,No,Zone A-Rack17-Shelf1
Item109,B,81,No,Zone B-Rack14-Shelf5
Item110,A,90,No,Zone C-Rack7-Shelf3
Item111,B,8,Yes,Zone C-Rack7-Shelf3
Item112,A,93,No,Zone B-Rack20-Shelf5
Item113,C,26,No,Zone A-Rack20-Shelf3
Item114,C,74,No,Zone D-Rack6-Shelf1
Item115,C,90,No,Zone A-Rack5-Shelf3
Item116,C,34,No,Zone A-Rack4-Shelf2
Item117,C,7,Yes,Zone B-Rack5-Shelf3
Item118,A,68,No,Zone B-Rack1-Shelf5
Item119,C,58,No,Zone D-Rack13-Shelf4
Item120,C,75,No,Zone E-Rack8-Shelf5
Item121,C,29,No,Zone E-Rack15-Shelf4
Item122,C,36,No,Zone D-Rack13-Shelf2
Item123,B,89,No,Zone C-Rack19-Shelf3
Item124,A,21,No,Zone D-Rack4-Shelf2
Item125,B,36,No,Zone C-Rack5-Shelf4
Item126,B,10,Yes,Zone C-Rack10-Shelf2
Item127,C,73,No,Zone C-Rack12-Shelf2
Item128,C,24,No,Zone E-Rack8-Shelf2
Item129,A,64,No,Zone A-Rack1-Shelf4
Item130,C,99,No,Zone C-Rack12-Shelf4
Item131,B,49,No,Zone D-Rack16-Shelf4
Item132,B,99,No,Zone E-Rack5-Shelf2
Item133,A,36,No,Zone A-Rack9-Shelf3
Item134,B,82,No,Zone E-Rack14-Shelf1
Item135,C,96,No,Zone C-Rack1-Shelf5
Item136,B,24,No,Zone E-Rack14-Shelf4
Item137,C,23,No,Zone A-Rack1-Shelf3
Item138,C,62,No,Zone E-Rack15-Shelf1
Item139,B,96,No,Zone E-Rack9-Shelf2
Item140,C,37,No,Zone D-Rack9-Shelf3
Item141,C,12,Yes,Zone D-Rack11-Shelf2
Item142,B,55,No,Zone B-Rack2-Shelf3
Item143,B,13,Yes,Zone A-Rack11-Shelf3
Item144,B,23,No,Zone D-Rack19-Shelf1
Item145,B,89,No,Zone D-Rack6-Shelf5
Item146,A,99,No,Zone A-Rack17-Shelf5
Item147,C,30,No,Zone C-Rack18-Shelf5
